                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.29953,                0.35653,                 0.9385,                0.96429,                      1,                  0.995,                0.95191,                0.30044,                0.38322,                0.86544,             0.00045285,             0.00045285,             0.00045285
                     71,                0.30335,                 0.3525,                0.93288,                0.95784,                 0.9772,                  0.995,                0.93904,                0.30181,                0.40071,                0.85901,              0.0004387,              0.0004387,              0.0004387
                     72,                0.29462,                0.34155,                0.92835,                0.96368,                      1,                  0.995,                0.92992,                0.31998,                0.35038,                0.92977,             0.00042456,             0.00042456,             0.00042456
                     73,                 0.2989,                0.31492,                0.94055,                0.96373,                0.99826,                  0.995,                0.95361,                0.30289,                0.36999,                 0.8309,             0.00041041,             0.00041041,             0.00041041
                     74,                0.28916,                 0.3065,                0.92801,                 0.9626,                0.98602,                  0.995,                0.96743,                0.25193,                0.41409,                0.76358,             0.00039626,             0.00039626,             0.00039626
                     75,                0.29306,                0.30721,                0.93463,                0.95682,                      1,                  0.995,                 0.9649,                0.24634,                0.40984,                0.74884,             0.00038211,             0.00038211,             0.00038211
                     76,                0.28012,                0.32729,                0.93165,                0.97266,                      1,                  0.995,                0.96606,                0.24091,                0.28465,                0.75267,             0.00036797,             0.00036797,             0.00036797
                     77,                0.29523,                0.33368,                0.93803,                 0.9838,                      1,                  0.995,                0.97296,                0.22725,                 0.2283,                 0.7366,             0.00035382,             0.00035382,             0.00035382
                     78,                0.29019,                0.31497,                  0.943,                0.98905,                      1,                  0.995,                0.96727,                0.24706,                0.25148,                0.76776,             0.00033967,             0.00033967,             0.00033967
                     79,                0.27841,                0.30631,                 0.9341,                 0.9866,                      1,                  0.995,                0.95148,                0.26935,                0.25566,                0.81544,             0.00032553,             0.00032553,             0.00032553
                     80,                0.28837,                0.32492,                 0.9409,                0.98709,                      1,                  0.995,                0.95139,                0.29473,                0.25091,                0.85688,             0.00031138,             0.00031138,             0.00031138
                     81,                0.28046,                0.31691,                0.92538,                 0.9773,                      1,                  0.995,                0.95521,                0.30897,                0.28833,                0.87205,             0.00029723,             0.00029723,             0.00029723
                     82,                0.28014,                0.31371,                0.93132,                0.97523,                      1,                  0.995,                0.95116,                0.29651,                0.28371,                0.83862,             0.00028308,             0.00028308,             0.00028308
                     83,                0.28423,                0.30915,                0.93634,                0.98132,                      1,                  0.995,                 0.9696,                0.25438,                0.25667,                0.75839,             0.00026894,             0.00026894,             0.00026894
                     84,                0.27571,                0.30388,                0.93979,                0.97654,                      1,                  0.995,                0.97549,                0.24905,                0.24934,                0.76428,             0.00025479,             0.00025479,             0.00025479
                     85,                0.27645,                0.31938,                0.92814,                0.97344,                      1,                  0.995,                0.96622,                0.26431,                0.25592,                0.78107,             0.00024064,             0.00024064,             0.00024064
                     86,                0.25304,                0.27444,                0.91754,                 0.9809,                      1,                  0.995,                0.96613,                0.25671,                0.24946,                0.75952,              0.0002265,              0.0002265,              0.0002265
                     87,                0.27136,                  0.294,                0.91852,                 0.9819,                      1,                  0.995,                0.97663,                0.26807,                0.24475,                0.77298,             0.00021235,             0.00021235,             0.00021235
                     88,                0.26543,                0.28804,                0.92525,                0.96138,                      1,                  0.995,                 0.9754,                 0.2523,                 0.2606,                0.76834,              0.0001982,              0.0001982,              0.0001982
                     89,                0.25223,                0.28121,                 0.9195,                 0.9574,                      1,                  0.995,                0.96642,                0.26728,                0.26154,                0.78434,             0.00018406,             0.00018406,             0.00018406
                     90,                0.25839,                0.28638,                0.92091,                0.97372,                      1,                  0.995,                0.97024,                0.24753,                0.25321,                0.75301,             0.00016991,             0.00016991,             0.00016991
                     91,                 0.2068,                0.30471,                0.89156,                0.98363,                      1,                  0.995,                0.97811,                0.26837,                0.23399,                0.76188,             0.00015576,             0.00015576,             0.00015576
                     92,                0.18951,                0.26436,                0.87283,                0.98815,                      1,                  0.995,                0.97301,                0.24857,                0.24044,                0.77254,             0.00014161,             0.00014161,             0.00014161
                     93,                0.19306,                0.23665,                0.88265,                  0.987,                      1,                  0.995,                0.97569,                0.23687,                 0.2127,                0.72626,             0.00012747,             0.00012747,             0.00012747
                     94,                0.18706,                 0.2515,                0.88507,                 0.9811,                      1,                  0.995,                 0.9875,                0.19508,                0.20356,                0.69052,             0.00011332,             0.00011332,             0.00011332
                     95,                0.19158,                0.23649,                0.88067,                0.98507,                      1,                  0.995,                  0.995,                0.19163,                0.18822,                0.68736,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.18921,                0.27316,                0.90684,                0.98562,                      1,                  0.995,                  0.995,                0.21371,                0.19608,                0.69923,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.18553,                0.23672,                0.87221,                0.98705,                      1,                  0.995,                0.97844,                 0.2164,                0.18879,                0.70501,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                  0.177,                0.22396,                0.88924,                0.98551,                      1,                  0.995,                0.96932,                0.22272,                0.20496,                0.71181,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.16724,                0.21793,                0.88012,                0.98613,                      1,                  0.995,                0.96926,                0.21912,                0.19902,                0.71198,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.17897,                0.23662,                0.88403,                0.98796,                      1,                  0.995,                0.97834,                0.20964,                0.19712,                0.69823,             2.8437e-05,             2.8437e-05,             2.8437e-05
